date,r_sim_MCM,r_obs_MCM
2004-03-20,2.8104615942857185,1.859
2004-03-21,3.010251294285715,1.297
2004-03-22,3.4284407514285697,1.297
2004-03-23,3.749553708571426,1.297
2004-03-24,4.000521065714286,1.297
2004-03-25,1.669124378571429,1.297
2004-03-26,1.678871378571429,1.272
2004-03-27,1.7012723785714294,1.272
2004-03-28,1.7413108071428576,1.272
2004-03-29,1.740626807142858,0.881
2004-03-30,1.7363151642857153,2.031
2004-03-31,1.7460865928571434,2.447
2004-04-01,2.271142168571429,4.746
2004-04-02,2.2779142542857147,4.428
2004-04-03,2.27004834,4.575
2004-04-04,2.2520805971428564,3.817
2004-04-05,2.257678425714285,4.771
2004-04-06,2.2324077685714294,4.82
2004-04-07,2.212091511428571,4.82
2004-04-08,2.356956047142856,3.841
2004-04-09,2.3480965471428563,4.82
2004-04-10,2.3297229042857133,3.841
2004-04-11,2.3174592614285707,3.866
2004-04-12,2.3065223614285704,4.648
2004-04-13,2.287825761428571,7.56
2004-04-14,2.2420444042857133,7.046
2004-04-15,2.0063031285714277,5.26
2004-04-16,2.006074699999999,5.48
2004-04-17,1.986224257142857,2.691
2004-04-18,2.009820928571429,2.887
2004-04-19,2.020557071428572,5.309
2004-04-20,1.9728383428571408,4.502
2004-04-21,1.951777228571428,1.492
2004-04-22,2.3539699857142833,0.905
2004-04-23,2.402897928571427,1.468
2004-04-24,2.434816157142855,1.15
2004-04-25,2.467434785714284,1.688
2004-04-26,2.49087317142857,1.419
2004-04-27,2.5189391999999984,4.379
2004-04-28,2.468435357142855,3.425
2004-04-29,4.186064157142858,4.379
2004-04-30,4.185716585714286,4.82
2004-05-01,4.185301871428572,6.116
2004-05-02,4.184697157142858,7.462
2004-05-03,4.183891585714286,7.217
2004-05-04,4.1831071571428575,7.095
2004-05-05,4.1824271571428575,7.315
2004-05-06,3.577724897142857,6.067
2004-05-07,3.5593340399999995,6.434
2004-05-08,3.538580468571428,4.575
2004-05-09,3.526098525714285,5.382
2004-05-10,3.509908611428571,4.575
2004-05-11,3.498388782857142,4.575
2004-05-12,3.496145268571428,4.6
2004-05-13,4.3812650742857135,4.6
2004-05-14,4.379345074285714,4.379
2004-05-15,4.387624845714286,4.184
2004-05-16,4.395968617142857,3.376
2004-05-17,4.401134331428571,3.792
2004-05-18,4.402332045714285,5.04
2004-05-19,4.397607017142857,5.064
2004-05-20,3.1876226857142855,7.487
2004-05-21,3.1815924714285715,7.609
2004-05-22,3.1835780857142857,2.985
2004-05-23,3.192423928571429,3.058
2004-05-24,3.197267971428571,5.236
2004-05-25,3.1960344142857147,1.37
2004-05-26,3.199392685714286,1.15
2004-05-27,1.0876826942857158,0.538
2004-05-28,1.1226458942857147,0.122
2004-05-29,1.1613378085714283,0.122
2004-05-30,1.2000990942857146,0.122
2004-05-31,1.250705551428572,0.122
2004-06-01,1.31393760857143,0.122
2004-06-02,1.3987441800000002,0.514
2004-06-03,2.382300521428571,0.71
2004-06-04,2.429927878571428,0.93
2004-06-05,2.4662655928571415,1.321
2004-06-06,2.4894598785714277,0.905
2004-06-07,2.512232449999999,0.318
2004-06-08,2.536770949999999,0.122
2004-06-09,2.5595874499999995,0.122
2004-06-10,1.854937382857143,0.122
2004-06-11,1.86300824,0.122
2004-06-12,1.870068354285714,0.122
2004-06-13,1.8764684685714288,0.122
2004-06-14,1.8822764685714284,0.122
2004-06-15,1.887737497142857,0.44
2004-06-16,1.8915390971428572,0.514
2004-06-17,1.8970095142857144,1.101
2004-06-18,1.897296,1.468
2004-06-19,1.8970814,1.468
2004-06-20,1.8967219714285717,1.468
2004-06-21,1.896246257142857,1.859
2004-06-22,1.8954142857142855,1.664
2004-06-23,1.8946668857142857,1.664
2004-06-24,1.8800854285714284,1.664
2004-06-25,1.8798857142857144,1.664
2004-06-26,1.879685,1.688
2004-06-27,1.879486,1.664
2004-06-28,1.879278714285714,1.859
2004-06-29,1.8790242857142856,1.859
2004-06-30,1.8787845714285711,1.762
2004-07-01,1.6244075857142857,1.688
2004-07-02,1.6244190142857142,1.272
2004-07-03,1.6245907285714285,1.248
2004-07-04,1.6251675857142855,1.272
2004-07-05,1.6255900142857145,1.297
2004-07-06,1.6259018714285711,1.297
2004-07-07,1.626068157142857,1.297
2004-07-08,1.6379984857142855,1.297
2004-07-09,1.6381116285714283,1.297
2004-07-10,1.6381953428571427,1.297
2004-07-11,1.6404942514285712,1.297
2004-07-12,1.6463709942857143,1.297
2004-07-13,1.6523313085714286,1.566
2004-07-14,1.6661807657142855,1.492
2004-07-15,1.4880436142857143,1.492
2004-07-16,1.4886058999999998,1.297
2004-07-17,1.4889791857142856,1.492
2004-07-18,1.4891823285714283,0.905
2004-07-19,1.4893930428571427,2.104
2004-07-20,1.4893819,1.615
2004-07-21,1.489465471428571,1.737
2004-07-22,1.6675812428571428,1.713
2004-07-23,1.6746730714285714,1.713
2004-07-24,1.6810251428571428,1.713
2004-07-25,1.6844304857142858,1.762
2004-07-26,1.6880958857142858,1.713
2004-07-27,1.6909336714285712,1.713
2004-07-28,1.6945129714285714,1.713
2004-07-29,1.8678363285714288,1.713
2004-07-30,1.870305042857143,1.713
2004-07-31,1.8733043285714288,1.737
2004-08-01,1.8761677571428572,1.468
2004-08-02,1.8778799,1.321
2004-08-03,1.8789999,1.321
2004-08-04,1.880063042857143,1.321
2004-08-05,1.6502782571428571,1.297
2004-08-06,1.6712737,1.297
2004-08-07,1.6966788142857143,1.297
2004-08-08,1.7209740999999998,1.272
2004-08-09,1.735404242857143,1.297
2004-08-10,1.744721585714286,1.125
2004-08-11,1.7537757,1.272
2004-08-12,1.6950386714285717,1.076
2004-08-13,1.6952949571428573,0.905
2004-08-14,1.6963396,1.076
2004-08-15,1.6970963857142858,1.101
2004-08-16,1.697878242857143,1.076
2004-08-17,1.6990111,1.101
2004-08-18,1.701316742857143,1.272
2004-08-19,1.67817683,1.346
2004-08-20,1.68443633,1.297
2004-08-21,1.688419787142857,1.272
2004-08-22,1.6909465157142858,1.076
2004-08-23,1.6929122585714285,0.122
2004-08-24,1.6958562871428573,0.71
2004-08-25,1.6982041728571429,0.71
2004-08-26,2.1284458657142857,0.122
2004-08-27,2.1305284514285714,0.122
2004-08-28,2.1323878657142856,0.71
2004-08-29,2.1344714942857146,1.076
2004-08-30,2.136526965714286,0.881
2004-08-31,2.138807694285714,1.076
2004-09-01,2.1436256942857144,2.226
2004-09-02,2.652912531428572,2.226
2004-09-03,2.6406074457142856,1.859
2004-09-04,2.6322424457142857,2.226
2004-09-05,2.620954817142857,2.251
2004-09-06,2.61004276,2.251
2004-09-07,2.5981473885714292,1.859
2004-09-08,2.5893112171428574,2.251
2004-09-09,3.110829131428571,2.251
2004-09-10,3.0969855885714286,2.251
2004-09-11,3.0851899599999997,2.055
2004-09-12,3.082524988571428,2.055
2004-09-13,3.07717716,2.275
2004-09-14,3.064979102857143,1.492
2004-09-15,3.06008736,1.101
2004-09-16,3.1091,1.492
2004-09-17,3.1144107857142864,1.688
2004-09-18,3.1086682142857143,0.71
